release_friday,slug,title,desk,subdomain,original_pubDate,tier_target,tier_current,quarto_path,friday_action,notes
2027-02-27,fandom,Large U.S. markets anchor six distinct sports identity patterns,sports,football,2026-07-01,B,B,articles/fandom/fandom.qmd,go_live,
2027-03-06,sf,Can San Francisco Absorb Its Own Invention Machine?,civics,economics,2026-07-01,B,B,articles/sf/sf.qmd,go_live,
2027-03-13,dynasties,Which Sports Dynasties Convert Finals Appearances Into Championships?,sports,football,2026-07-01,B,B,articles/dynasties/dynasties.qmd,go_live,
2027-03-20,yankees,27 Championships Built the Yankees' Empire—15 Years Without One Defines the Modern Paradox,sports,baseball,2026-07-01,B,B,articles/yankees/yankees.qmd,go_live,
2027-03-27,airlines,'Airline Safety by Capacity: How Incident Counts Hide Exposure Differences',culture,travel,2026-06-15,B,B,articles/airlines/airlines.qmd,go_live,
2027-04-03,alcohol,Who Drinks the Most Alcohol Per Capita?,culture,food,2026-06-15,B,B,articles/alcohol/alcohol.qmd,go_live,
2027-04-10,pizza,"'Pizza Price Floors: How a 10,000-Row Menu Extract Reveals Two Economies'",culture,food,2026-06-15,B,B,articles/pizza/pizza.qmd,go_live,
2027-04-17,lyrics,"'Beyoncé and Taylor Swift, Line by Line'",arts,music,2026-06-15,B,B,articles/lyrics/lyrics.qmd,go_live,
2027-04-24,mac,What Twenty Years of Big Mac Prices Say About Purchasing Power,civics,economics,2026-06-15,B,B,articles/mac/mac.qmd,go_live,
2027-05-01,bikeshare,How Far Do Portland’s Biketown Rides Actually Go?,culture,travel,2026-06-15,B,B,articles/bikeshare/bikeshare.qmd,go_live,
2027-05-08,billboard,How Long Number-One Hits Stay on Top of the Hot 100,arts,music,2026-06-15,B,B,articles/billboard/billboard.qmd,go_live,
2027-05-15,rankings,How the Top of the Billboard Chart Got More Crowded,arts,music,2026-06-15,B,B,articles/rankings/rankings.qmd,go_live,
2027-05-22,games,Which Board Games Combine Crowd Scale With Elite Ratings?,sports,gaming,2026-06-15,B,B,articles/games/games.qmd,go_live,
2027-05-29,broadway,Springsteen On Broadway Commands $509 Average Ticket—Double Hamilton's $273,arts,theater,2026-06-15,B,B,articles/broadway/broadway.qmd,go_live,
2027-06-05,ceos,"CEO Tenure Caps at 2.5 Years in 9,423 Departure Records",civics,business,2026-06-15,B,B,articles/ceos/ceos.qmd,go_live,
2027-06-12,cetaceans,Captive cetacean transfers peaked in 1972 with 170 US-logged records,science,biology,2026-06-15,B,B,articles/cetaceans/cetaceans.qmd,go_live,
2027-06-19,novels,Victorian Authors Dominate the Christmas Novel Canon,arts,language,2026-06-15,B,B,articles/novels/novels.qmd,go_live,
2027-06-26,carols,'Jingle Bell Rock spent 19 weeks on chart across six decades',arts,music,2026-06-15,B,B,articles/carols/carols.qmd,go_live,
2027-07-03,factbook,China holds 1.36 billion people against a 5.2 million median — five countries control 72% of aggregate population,civics,economics,2026-06-15,B,B,articles/factbook/factbook.qmd,go_live,
2027-07-10,majors,"Psychology Graduates Fill 48,207 Low-Wage Jobs—Four Times Business Majors",civics,education,2026-06-15,B,B,articles/majors/majors.qmd,go_live,
2027-07-17,comics,"Spider-Man Leads 23,272 Comic Characters at 4,043 Appearances; Top Five Hold 45% of Aggregate",arts,design,2026-06-15,B,B,articles/comics/comics.qmd,go_live,
2027-07-24,breweries,U.S. Craft Beer Peaks at 12.8% ABV; Median Remains 6%,culture,food,2026-06-15,B,B,articles/breweries/breweries.qmd,go_live,
2027-07-31,emmys,Saturday Night Live Earned 859 Emmy Records—More Than Any Other Show,arts,film,2026-06-15,B,B,articles/emmys/emmys.qmd,go_live,
2027-08-07,exercise,Colorado leads U.S. exercise participation at 32.0; median state posts 23.0,culture,wellness,2026-06-15,B,B,articles/exercise/exercise.qmd,go_live,
2027-08-14,calories,"515 Fast-Food Items: Median 490 Calories, Ceiling 2,430",culture,food,2026-06-15,B,B,articles/calories/calories.qmd,go_live,
2027-08-21,longevity,Global median life expectancy nearly tripled in five centuries,science,medicine,2026-06-15,B,B,articles/longevity/longevity.qmd,go_live,
2027-08-28,plastic,Median GDP per capita doubled 1700–2017 while plastic mismanagement stayed geographically uneven,culture,environment,2026-06-15,B,B,articles/plastic/plastic.qmd,go_live,
2027-09-04,margins,Star Wars Led a Horror-Profit Dataset—How Genre Mislabeling Hides the Real Winners,arts,film,2026-06-15,B,B,articles/margins/margins.qmd,go_live,
2027-09-11,horror,Horror's median rating rose 0.35 points as catalog volume grew 50× in seven decades,arts,film,2026-06-15,B,B,articles/horror/horror.qmd,go_live,
2027-09-18,hurricanes,"'Hurricane Maria delivered 5,072-unit peak to Puerto Rico in 2017 three-state season'",culture,environment,2026-06-15,B,B,articles/hurricanes/hurricanes.qmd,go_live,
2027-09-25,wastewater,Singapore's wastewater plants discharge 200× the global median,science,engineering,2026-06-15,B,B,articles/wastewater/wastewater.qmd,go_live,
2027-10-02,prisons,"U.S. Incarceration by County, 1970–2016 — Median Population 3,553, Top Exceeds 6.8 Million",civics,law,2026-06-15,B,B,articles/prisons/prisons.qmd,go_live,
2027-10-09,languages,"8,612 Glottolog records concentrate 27% in Africa — a map of fieldwork, not speech",arts,language,2026-06-15,B,B,articles/languages/languages.qmd,go_live,
2027-10-16,legos,"LEGO's median set shrank to 60 pieces while flagship builds hit 11,695",culture,leisure,2026-06-15,B,B,articles/legos/legos.qmd,go_live,
2027-10-23,medium,Medium posts at 4 minutes median — does length predict claps?,science,tech,2026-06-15,B,B,articles/medium/medium.qmd,go_live,
2027-10-30,parks,Golden Gate draws 14.6 million visits — 94× the median national park,culture,travel,2026-06-15,B,B,articles/parks/parks.qmd,go_live,
2027-11-06,netflix,Squid Game Season 2 Logs 730 Million Netflix Hours — 292× the Catalog Median,arts,film,2026-06-15,B,B,articles/netflix/netflix.qmd,go_live,
2027-11-13,catalog,Netflix carried more movies than TV shows through 2021—but the longest titles were interactive films,arts,film,2026-06-15,B,B,articles/catalog/catalog.qmd,go_live,
2027-11-20,nuclear,"Nuclear test body-wave magnitudes peaked at 7.40 across 2,051 recorded detonations",science,physics,2026-06-15,B,B,articles/nuclear/nuclear.qmd,go_live,
2027-11-27,restaurants,"NYC Restaurant Inspections Show 15-Point Median, 156-Point Outlier",culture,food,2026-06-15,B,B,articles/restaurants/restaurants.qmd,go_live,
2027-12-04,pixar,Pixar's 96% median critic score broke twice—Cars 2 and Lightyear,arts,film,2026-06-15,B,B,articles/pixar/pixar.qmd,go_live,
2027-12-11,lcsh,"69,027 LCSH Records Anchor Project Gutenberg's Catalog Core",arts,language,2026-06-15,B,B,articles/lcsh/lcsh.qmd,go_live,
2027-12-18,radio,"U.S. radio stations cluster at 101 MHz — except News/Talk, which sits 1,039 above median",arts,music,2026-06-15,B,B,articles/radio/radio.qmd,go_live,
2027-12-25,ramen,Malaysia averages 4.25 stars — 0.50 above the global ramen median,culture,food,2026-06-15,B,B,articles/ramen/ramen.qmd,go_live,
2028-01-01,albums,"691 albums, median rank 250 — Rolling Stone's 2003 canon structure",arts,music,2026-06-15,B,B,articles/albums/albums.qmd,go_live,
2028-01-08,emperors,Constantine lasted 31 years—Nerva–Antonine emperors averaged 12.5 above median,humanities,history,2026-06-15,B,B,articles/emperors/emperors.qmd,go_live,
2028-01-15,schools,"U.S. School Diversity Peaks at 85.3, Median Holds at 2.38",civics,education,2026-06-15,B,B,articles/schools/schools.qmd,go_live,
2028-01-22,sherlock,Sherlock Holmes Stories Cluster Around 12 Words per Record in Tokenized Corpus,arts,language,2026-06-15,B,B,articles/sherlock/sherlock.qmd,go_live,
2028-01-29,simpsons,Marcia Wallace Appeared 175 Times — More Than Any Other Simpsons Guest Star,arts,film,2026-06-15,B,B,articles/simpsons/simpsons.qmd,go_live,
2028-02-05,superbowl,Five brands capture 87% of post-game Super Bowl ad views on YouTube,civics,communication,2026-06-15,B,B,articles/superbowl/superbowl.qmd,go_live,
2028-02-12,television,Median Prestige-TV Scores Rose 0.29 Points from 1990 to 2018—Not the Leap Critics Claimed,arts,film,2026-06-15,B,B,articles/television/television.qmd,go_live,
2028-02-19,museums,"UK Museums Cluster in Less-Deprived Areas — Wiltshire Leads, Cornwall Trails",arts,architecture,2026-06-15,B,B,articles/museums/museums.qmd,go_live,
2028-02-26,diplomacy,"Brazil Dominates UN Roll-Call Records — 747 Appearances in 100,000-Vote Sample",civics,politics,2026-06-15,B,B,articles/diplomacy/diplomacy.qmd,go_live,
2028-03-04,phds,"Social Sciences Drove 63% of U.S. Doctorate Growth, 2008–2017",civics,education,2026-06-15,B,B,articles/phds/phds.qmd,go_live,
2028-03-11,tuition,"Vermont Led U.S. Public Tuition at $13,486; National Median Rose 56% by 2015",civics,education,2026-06-15,B,B,articles/tuition/tuition.qmd,go_live,
2028-03-18,voters,National Turnout Hit 132.6 Million While Median State Recorded 1.17 Million Votes,civics,politics,2026-06-15,B,B,articles/voters/voters.qmd,go_live,
2028-03-25,slices,Steam Concurrency 2012–2021 — Median Player Count Rose 46 % While a Dozen Titles Captured Half the Audience,sports,gaming,2026-06-15,B,B,articles/slices/slices.qmd,go_live,
2028-04-01,steam,Games That Delivered 10+ Hours Per Dollar Own 12% of Steam's Top Shelf,sports,gaming,2026-06-15,B,B,articles/steam/steam.qmd,go_live,
2028-04-08,wealth,Income share in mid-tier brackets rose 6.6 points above the median; top brackets trailed by 6.7,civics,economics,2026-06-15,B,B,articles/wealth/wealth.qmd,go_live,
2028-04-15,metrics,Page Speed Improved 31% at the Median Between 2016 and 2022,science,tech,2026-06-15,B,B,articles/metrics/metrics.qmd,go_live,
2028-04-22,wine,"100,000 wine ratings reveal a 2-point spread between Austria and Chile",culture,food,2026-06-15,B,B,articles/wine/wine.qmd,go_live,
2028-04-29,heritage,Sweden Added 15 UNESCO Sites by 2022 While Denmark Grew 150%,culture,travel,2026-06-15,B,B,articles/heritage/heritage.qmd,go_live,
2028-05-06,pokemon,Dragon-types earn their 100 median Attack — Bug-types don't recover from 60,sports,gaming,2026-05-06,A,A,articles/pokemon/pokemon.qmd,go_live,
2028-05-13,readmitted,48% of U.S. Hospitals Still Exceed CMS's 30-Day Readmission Benchmark,science,medicine,2026-04-21,A,A,articles/readmitted/readmitted.qmd,go_live,
2028-05-20,caesar,Caesar scored 0.95 on Need for Power — then trusted the men who killed him,humanities,history,2026-04-18,A,A,articles/caesar/caesar.qmd,go_live,
2028-05-27,giants,The Giants won three World Series in five years at payroll rank 9,sports,baseball,2026-04-18,A,A,articles/giants/giants.qmd,go_live,
2028-06-03,warriors,"73 wins, four titles, and the franchise that rewrote basketball offense",sports,basketball,2026-04-18,A,A,articles/warriors/warriors.qmd,go_live,
2028-06-10,coffee,"Ethiopia scores 85.3 — highest coffee quality, zero Starbucks stores",culture,food,2026-04-14,A,A,articles/coffee/coffee.qmd,go_live,
2028-06-17,youtube,H3's Nine-Month Peak Created a Viewership Ceiling the Podcast Never Reached Again,civics,communication,2026-04-14,A,A,articles/youtube/youtube.qmd,go_live,
2028-06-24,imperial,'What Empire Chronicles Leave Out: Who Got Rich',humanities,history,2026-04-14,A,A,articles/imperial/imperial.qmd,go_live,
2028-07-01,franchise,"Pokémon's $91B Earns More Than Marvel, Star Wars, and Harry Potter Combined",arts,film,2026-04-08,A,A,articles/franchise/franchise.qmd,go_live,
2028-07-08,anime,What a Century of Anime Titles Reveals About the Industry,arts,film,2026-03-31,A,A,articles/anime/anime.qmd,go_live,
