country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
France,"Manuel Olivier has an obvious interest in this lesser-known white grape. And with this wine— fresh, crisp, lively—he brings out all the green apple and bright, nervy acidity.",,87,15.0,Burgundy,Bourgogne Aligoté,,Roger Voss,@vossroger,Manuel Olivier 2010  Bourgogne Aligoté,Aligoté,Manuel Olivier
Italy,"Black-skinned fruit, iris, espresso, dark spice and a balsamic note all meld together in the glass along with a whiff of chopped herb. The firmly structured palate doles out ripe black cherry, raspberry jam, toast, roasted coffee bean and a hint of oak-driven spice alongside fine-grained tannins.",Sarmassa,93,107.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Marchesi di Barolo 2013 Sarmassa  (Barolo),Nebbiolo,Marchesi di Barolo
France,"With time, fresh rose petals merge into heady Turkish delight notes on the nose. This is full-on Gewurztraminer with all the bells and whistles: utterly decadent rose water and honeysuckle notes are submerged in rich, indulgent sweetness. This is perfumed and full-on: a super-charged varietal expression with rich, powdery layers of rose, honey and caramel.",Cuvée Christine Vendanges Tardives,90,72.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaines Schlumberger 2011 Cuvée Christine Vendanges Tardives Gewurztraminer (Alsace),Gewürztraminer,Domaines Schlumberger
France,"An opulent and ripe wine, it is full of blackberry fruit flavors, concentrated and generous at the end. Drink soon, from 2016.",,89,,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Cap de Mourlin 2011  Saint-Émilion,Bordeaux-style Red Blend,Château Cap de Mourlin
US,"An appealing wine with notes of coffee, blueberry and plum, with the aromas giving a suggestion of confection. The palate doesn't hang together end to end but it still provides plenty of enjoyment.",The Huntsman,88,15.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Ross Andrew 2012 The Huntsman Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Ross Andrew
Chile,"Full in style, with sweet aromas of black fruit. Feels chunky, with fatty tasting oak leading herbal, simple flavors of blackberry and dark plum. A ripe wine with a round mouthfeel but not much in the way of elegance or refinement.",Single Vineyard,85,18.0,Maule Valley,,,Michael Schachner,@wineschach,Chilcas 2010 Single Vineyard Pinot Noir (Maule Valley),Pinot Noir,Chilcas
US,"Aromas of lime leaf and citrus lead to sleek, dry fruit flavors, speckled with lime notes on the finish. Pair it with shrimp ceviche.",,88,15.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,North by Northwest 2014 Riesling (Columbia Valley (WA)),Riesling,North by Northwest
Italy,"This Brunello shows nice balance and a very comfortable level of aromatic intensity that is playful and bright without going over the top. You'll recognize tones of sweet berry fruit, cinnamon, tobacco and even a touch of zesty ginger snap. The wine feels silky and firm with bright freshness on the close.",,90,56.0,Tuscany,Brunello di Montalcino,,,,Tenuta Crocedimezzo 2008  Brunello di Montalcino,Sangiovese Grosso,Tenuta Crocedimezzo
Chile,"Earthy mossy spicy aromas are the high point on this edgy rubbery amped-up Carmenère. This is blocky and chunky on the palate, with blueberry and leathery flavors. Lively but rough feeling on a peppery, herbal finish.",Twelvestone,84,10.0,Lontué Valley,,,Michael Schachner,@wineschach,Viña La Fortuna 2013 Twelvestone Carmenère (Lontué Valley),Carmenère,Viña La Fortuna
US,"Spicy and intense, this excellent Pinot Gris is loaded with Gravenstein apple, cut pear, and a taste of orange peel. Surprising length and power for a Euro-styled wine with modest alcohol.",,90,14.0,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Rainstorm 2012 Pinot Gris (Oregon),Pinot Gris,Rainstorm
Portugal,"This crisp blend of Arinto and Fernão Pires is light and fruity. Acidity and a lively mousse make for an attractive bright wine, with toast and almonds at the end. Drink now.",Oculto Extra Bruto,84,18.0,Tejo,,,Roger Voss,@vossroger,Quinta do Arrobe 2016 Oculto Extra Bruto Sparkling (Tejo),Sparkling Blend,Quinta do Arrobe
Spain,"A good effort from 2003 (hottest vintage in ages) because it holds onto those classic Rioja qualities, like tobacco and spice on the nose as well as tea and black cherry flavors. It's definitely a bigger, rounder wine than in the past, but it will deliver the goods if drunk within the next few years.",Reserva,88,19.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Marqués de Riscal 2003 Reserva  (Rioja),Tempranillo Blend,Marqués de Riscal
Portugal,"Produced from the estate's oldest vines close to the Douro river, this is a structured wine with tannins and rich spiciness. It will develop gently, giving a wine that is structured without being too tannic. Drink from 2020.",Margem,91,65.0,Douro,,,Roger Voss,@vossroger,Quinta dos Murças 2015 Margem Red (Douro),Portuguese Red,Quinta dos Murças
US,"This hearty blend of Merlot and Cabernet Sauvignon with smaller amounts of Malbec and Petit Verdot is a great go-to wine for a crowd. Cabernet leads the way with cedar, cranberry and tobacco notes, clipped by sizable tannin. As it opens, layers of dense raspberry and vanilla flavors unfurl.",Mountain Cuvée,88,20.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Gundlach Bundschu 2014 Mountain Cuvée Red (Sonoma County),Bordeaux-style Red Blend,Gundlach Bundschu
US,"Black plums and Mission figs stewed with cinnamon, cloves and vanilla make for an intriguing nose on this bottling from a longtime Italian winemaking family. The palate shows cola, black cherry, coffee bean and dark chocolate, though proves quite grippy with a structure that will let down its guard with patience.",,88,32.0,California,Paso Robles Willow Creek District,Central Coast,Matt Kettmann,@mattkettmann,Lusso Della Terra 2013 Zinfandel (Paso Robles Willow Creek District),Zinfandel,Lusso Della Terra
Argentina,"With its light color, minerally nectarine aromas and Provence leanings, this is a good facsimile of Old World rosé with peach and raspberry flavors, a smooth finish and integrated acidic cut.",Piedra Negra Alta Colección Rosado,87,13.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,François Lurton 2013 Piedra Negra Alta Colección Rosado Rosé (Mendoza),Rosé,François Lurton
US,"Entirely stainless-steel fermented and aged, this crisp white for immediate drinking is from a great vineyard site considered ground zero for the variety. Grass, pea shoot and corn aromas lead the way, as its tart, dry apricot and melon flavors beg for oysters.",Las Brisas Vineyard,88,28.0,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Via Giusti 2016 Las Brisas Vineyard Vermentino (Carneros),Vermentino,Via Giusti
Spain,"This leans a little green and soda-like on the nose, but it picks up clarity and speed on the palate, which carries a tangy, citric snap. It tastes of citrus and lees, and the finish is medium in length and healthy.",Brut Reserva,88,21.0,Catalonia,Cava,,Michael Schachner,@wineschach,Agustí Torelló Mata 2008 Brut Reserva Sparkling (Cava),Sparkling Blend,Agustí Torelló Mata
US,"Just released after nearly eight years, this wine still tastes lively and timely. It's marked by complex waves of blackberries, mocha, currants, cola and spices, although the fruit is beginning to move into drier, secondary characteristics. It's delicious, and fully ready to drink now. Give it a decanting, and watch as it changes in the glass.",,90,24.0,California,Santa Maria Valley,Central Coast,,,Indigené 2004 Cabernet Sauvignon (Santa Maria Valley),Cabernet Sauvignon,Indigené
US,"This is a dark, inky Petite Sirah, dense in tannins and full-bodied. It basically takes command of the palate and puts up a wall of astringency. That's young Petite Sirah for you. Behind that wall are rich flavors of blackberries and currants, with a generous sweetness from toasty oak, and finished with a hit of acidity. You should cellar this wine for at least six years.",Amelia's Block,90,34.0,California,Calistoga,Napa,,,Shypoke 2008 Amelia's Block Petite Sirah (Calistoga),Petite Sirah,Shypoke
Chile,"Aromatics of dill and vanilla are straight from the Old World, but otherwise this is modern and flush. Aromas of cedar and wood resin are also present in front of a tannic, roasted palate that features soft berry fruit, cola and medicinal flavors. Ripe, big and sweet; starts like Rioja and finishes like classic Chilean Cabernet; includes 17% Merlot and Carmenère.",DON,90,75.0,Colchagua Valley,,,Michael Schachner,@wineschach,Santa Helena 2008 DON Red (Colchagua Valley),Red Blend,Santa Helena
Austria,"The nose already announces the citric explosion on the palate: bursting notions of lemon zest with hints of pink grapefruit punctuate every second of refreshing bliss on the palate. This is true to its vintage, ultraclean, and immensely energetic. The freshness elongates everything, sparking real refreshment and leaving a lasting impression.",Lindberg Reserve,94,50.0,Kremstal,,,Anne Krebiehl MW,@AnneInVino,Salomon-Undhof 2014 Lindberg Reserve Grüner Veltliner (Kremstal),Grüner Veltliner,Salomon-Undhof
US,"Aromas of berry, coffee, herbs and smoke lead to dark fruit flavors with a layered, supple feel. It's a good find at this price.",,90,18.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Purple Star 2012 Syrah (Columbia Valley (WA)),Syrah,Purple Star
US,"Soft and sweetly simple, with sugary flavors of canned oranges and pears and butter-sautéed bananas.",,84,15.0,California,California,California Other,,,Locatelli 2008 Muscat Canelli (California),Muscat Canelli,Locatelli
Italy,"Barbecue, black olives, Indian spice and mature fruit open the nose of this rich Ripasso made with a traditional blend of Valpolicella red grapes. There's a touch of green curry and forest floor, but the wine ultimately closes on a plush sweet note.",Tenuta Lena di Mezzo,87,20.0,Veneto,Valpolicella Classico Superiore Ripasso,,,,Monte del Frá 2008 Tenuta Lena di Mezzo  (Valpolicella Classico Superiore Ripasso),"Corvina, Rondinella, Molinara",Monte del Frá
Italy,"This straightforward red has aromas of woodland berries and violets. The simple palate offers up sour cherry, a hint of grilled herb and a saline note alongside brisk acidity and angular tannins.",,86,29.0,Tuscany,Rosso di Montalcino,,Kerin O’Keefe,@kerinokeefe,Carillon 2014  Rosso di Montalcino,Sangiovese,Carillon
Spain,"This is not a crisp, lean, clear fino. It has a yellowing color and rather uncommon minty, nutty aromas. Some light fruit flavors run the show, while blanched almond, green olive and saline offer support. The finish is long, but maybe a bit sour and hot for some palates. Still, it's quite interesting and well made, and probably a good match with the right food.",Fino Sherry,88,15.0,Andalucia,Jerez,,Michael Schachner,@wineschach,Bodegas Dios Baco S.L. NV Fino Sherry Sherry (Jerez),Sherry,Bodegas Dios Baco S.L.
France,"This is a richer style of Blanc de Blancs that has the weight of a high dosage behind it. There's a baked-apple character that's rich and rounded, but laced with minerality as well. It's soft on the palate, but with a reverberating freshness.",Cuvée Stanislas Blanc de Blancs Brut Millesimé,90,,Champagne,Champagne,,Roger Voss,@vossroger,Thiénot 2005 Cuvée Stanislas Blanc de Blancs Brut Millesimé Chardonnay (Champagne),Chardonnay,Thiénot
France,Intense fruit and acidity give this wine a brightly refreshing character. It's about lemon and lime flavors with slices of red apple to bring out more sweetness. The aftertaste has a mineral edge that will allow the wine to age. Drink from 2017.,,89,25.0,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Georges Duboeuf 2013  Saint-Véran,Chardonnay,Georges Duboeuf
France,"A concentrated wine, relying on its generous black currant juice fruit rather than the more reticent tannins. The wine is dominated by Cabernet juiciness, a burst of fruit in the glass.",,89,42.0,Bordeaux,Pauillac,,Roger Voss,@vossroger,Château Clerc Milon 2007  Pauillac,Bordeaux-style Red Blend,Château Clerc Milon
Italy,"A pure expression of Nerello Mascalese, this delicate wine opens with aromas of wild berry, smoky spice, crushed stone and tobacco. It shows a dry, dusty finish, with subtle accents of cassis and dried raspberry.",Il Monovitigno,89,41.0,Sicily & Sardinia,Sicilia,,,,Benanti 2007 Il Monovitigno Nerello Mascalese (Sicilia),Nerello Mascalese,Benanti
Portugal,"Soft and light, this is attractively fruity although it lacks great depth of flavor. It is balanced, ripe and sweet, with touches of the wood aging and acidity coming through more strongly at the end.",10-Year-Old Tawny,86,55.0,Port,,,Roger Voss,@vossroger,Niepoort NV 10-Year-Old Tawny  (Port),Port,Niepoort
US,"You need to give this 100% Cabernet Sauvignon time in the cellar. It's nowhere near ready, even if you're used to tannins in your reds. It's hard as nails in astringency. This 2006 vintage doesn't have quite the concentration of the ‘05, but there are some lovely black cherry and black currant flavors, and they should begin to blossom in 4 or 5 years.",Kronos Vineyard,90,98.0,California,St. Helena,Napa,,,Corison 2006 Kronos Vineyard Cabernet Sauvignon (St. Helena),Cabernet Sauvignon,Corison
US,"Fresh apple and lemon on the palate of this Lake Erie Riesling are pleasant, but overwhelmed by oddly perfumed lemon-pine and floral notes. Simple and a bit savory. Drink now.",,82,14.0,New York,Lake Erie,Finger Lakes,Anna Lee C. Iijima,,Mazza Chautauqua Cellars 2010 Riesling (Lake Erie),Riesling,Mazza Chautauqua Cellars
US,"From a single vineyard on Snipes Mountain, this is a forceful, dark and liquorous version of Harrison Hill, which often carries more herbal accents. Here it's fruity and floral, with scents of rose petals and concentrated raspberry and cassis. Still young and showing its alcohol, it needs some hours of decanting.",Harrison Hill,90,75.0,Washington,Snipes Mountain,Columbia Valley,Paul Gregutt,@paulgwine ,DeLille 2007 Harrison Hill Red (Snipes Mountain),Red Blend,DeLille
Italy,"There's a sour, brambly note of white cherry or wild berry here that is characteristic of Piedirosso, a native variety of Campania. The wine is naturally thin in structure and persistency and makes the perfect match to Neapolitan pizza al forno.",,85,,Southern Italy,Lacryma Christi del Vesuvio,,,,Mastroberardino 2008 Piedirosso (Lacryma Christi del Vesuvio),Piedirosso,Mastroberardino
Italy,"Dark and brooding, this opens with aromas of French oak, espresso, clove and mature blackberry. On the extracted palate, licorice, vanilla and sweet baking spice accent a core of baked plum while bracing, fine-grained tannins provide the framework.",Marasco,90,88.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Franco M. Martinetti 2009 Marasco  (Barolo),Nebbiolo,Franco M. Martinetti
US,"This is quite light, almost ephemeral, with tart raspberry and red licorice flavors and a strong metallic/mineral streak. It is delicately made, and interesting, but comparable to a simple Bourgogne rather than a wine priced at this level.",Momtazi Vineyard,86,45.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Boedecker Cellars 2005 Momtazi Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Boedecker Cellars
US,"Apple peels, squeezed lime, rain on cement, jicama and Asian-pear aromas show on the crisp yet rounded nose of this bottling by actress Drew Barrymore. The palate is quite inviting with broad apple flavors, offering just enough texture and acidity to keep all sorts of wine lovers interested.",,89,18.0,California,California,California Other,Matt Kettmann,@mattkettmann,Barrymore 2015 Pinot Grigio (California),Pinot Grigio,Barrymore
US,"Using grapes sourced from Klipsun Vineyard, this is a roughly even Sauvignon Blanc–Sémillon blend. Flavors of sweet toast, lemon verbena and melon, with a hint of mint and a splash of orange soda are all in evidence. Nicely nuanced, this does not overreach, but rather zooms in on the details of aroma and flavor that keep it interesting.",Blanc,88,25.0,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine ,Covington 2011 Blanc Sauvignon Blanc-Semillon (Red Mountain),Sauvignon Blanc-Semillon,Covington
Portugal,"This medium-sweet, fruity wine is both light and crisp. Attractive acidity contrasts with the sparkling texture and the sugared citrus. It's very ready to drink.",Vilacentinho,84,8.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2013 Vilacentinho White (Vinho Verde),Portuguese White,Casa de Vilacetinho
US,"Ripe but rather light aromas of pear cider, honeydew melon and cherimoya make for an approachable, familiar nose on this appellation blend wine. Lots of soft nectarine and melon elements define the palate, with a pinch of sweet herbs, proving light, pleasant and playful.",,87,24.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Bargetto 2013 Chardonnay (Santa Cruz Mountains),Chardonnay,Bargetto
US,"Some awkward flavors and textures in this dry, tannic wine. Polished blackberries and cherries co-exist beside less ripe mint, and the tannins and acids are sharp and green. Seems like problems at the sorting table.",,85,40.0,California,Diamond Mountain District,Napa,,,A.S. Kiken 2008 Red (Diamond Mountain District),Red Blend,A.S. Kiken
US,"This wine reflects both the challenge and some of the enjoyment of the cool 2011 vintage in Washington. Aromas of green herbs intermingle with barrel spices. It's elegantly styled with abundant vanilla, coffee and cherry flavors.",Estates,88,26.0,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,Milbrandt 2011 Estates Cabernet Sauvignon (Wahluke Slope),Cabernet Sauvignon,Milbrandt
France,"The near-vertical slope of the Monts Damnés produces wines that have great elegance, style and impressive richness. This 2011 is still young, needing another year to start to bring out all the complex texture and aromatics. Drink until 2020.",La Côte de Monts Damnés,93,30.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Henri Bourgeois 2012 La Côte de Monts Damnés  (Sancerre),Sauvignon Blanc,Henri Bourgeois
Australia,"This is wildly aromatic, with floral hints of cracked pepper and apricot lending nuance to the dark berry fruit. The palate is richly textured, leading into a slightly warm, supple finish accented by licorice.",MV,92,22.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Paxton 2014 MV Shiraz (McLaren Vale),Shiraz,Paxton
France,"A soft, apple-y, ripe wine, this is a broad, fruity and instantly attractive wine. A fine example of cool, unoaked Chardonnay, it's lightly fragrant and crisp on the finish. Screwcap.",,85,12.0,Loire Valley,Val de Loire,,Roger Voss,@vossroger,Domaine de Bernier 2011 Chardonnay (Val de Loire),Chardonnay,Domaine de Bernier
US,"Just what you want a California Merlot to be. It's soft in the mouth, with silky tannins framing easy flavors of cherries, red currants, mocha and cinnamon spice. Great with cheeseburgers, lamb curry, beef tartare.",,88,17.0,California,Paso Robles,Central Coast,,,Ancient Peaks 2011 Merlot (Paso Robles),Merlot,Ancient Peaks
France,"From owner Jean-Pierre Palatin's vineyards at the highest elevation in this appellation, this mostly Merlot wine is soft and fruity, ripe but with little sense of structure. It is juicy and with some acidity. Light and perfumed, it is ready to drink. The winemaker is Thomas Guibert who also handles Ferrand, Palatin's Saint-Émilion grand cru.",,84,,Bordeaux,Castillon Côtes de Bordeaux,,Roger Voss,@vossroger,Château Roquevieille 2013  Castillon Côtes de Bordeaux,Bordeaux-style Red Blend,Château Roquevieille
Chile,"Initial aromas of marshmallow and cherry candy give way to toasty, mineral berry scents, while the palate is alert, maybe a bit acidic, with cherry, raspberry and herbal flavors. Tight and peppery on the finish, with a juicy crispness and a slight taste of burnt toast. Imported by Ecovalley Quality Wine Group and National Refrescos Import Company, LLC.",Reserva,85,15.0,Limarí Valley,,,Michael Schachner,@wineschach,Tamaya 2007 Reserva Merlot (Limarí Valley),Merlot,Tamaya
France,"This Beaujolais comes from a dense granite vineyard that has produced an equally powerful wine. It's mineral in texture, with aromatic black fruits that have been given a taste of wood from 12 months barrel aging. The acidity at the end as well as the tannins promise aging, so drink from 2017.",Clos de Rochegrès,93,50.0,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Château des Jacques 2012 Clos de Rochegrès  (Moulin-à-Vent),Gamay,Château des Jacques
France,"Guigal's Côtes du Rhône rosé is a blend of 70% Grenache, 20% Cinsault and 10% Syrah. It's a dark pink shade, rather full bodied and rich. Some earthy, savory notes help balance out the intense cherry-berry fruit, lingering on the finish.",,90,19.0,Rhône Valley,Côtes du Rhône,,Joe Czerwinski,@JoeCz,E. Guigal 2016 Rosé (Côtes du Rhône),Rosé,E. Guigal
Italy,"Underbrush, sunbaked soil, toast, and espresso aromas come together in the glass. The structured, tightly wound palate shows star anise, dried black cherry and a note of powdered sage with bracing tannins that grip the finish.",Lazzarito,90,210.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Vietti 2012 Lazzarito  (Barolo),Nebbiolo,Vietti
France,"Ripe botrytis, honey and peaches make for an attractive, open, ready-to-drink sweet wine. The acidity keeps the richness in check.",,85,25.0,Bordeaux,Sauternes,,Roger Voss,@vossroger,Barton & Guestier 2008  Sauternes,Bordeaux-style White Blend,Barton & Guestier
France,"From vines averaging 50 years of age, this is powerful, ripe and concentrated. It has dark black fruits, red berries that give acidity, and a richly fruity structure. It punches well above its village appellation. Drink from 2017.",Vieilles Vignes,92,50.0,Burgundy,Gevrey-Chambertin,,Roger Voss,@vossroger,Domaine Rossignol-Trapet 2011 Vieilles Vignes  (Gevrey-Chambertin),Pinot Noir,Domaine Rossignol-Trapet
Italy,"Seafood platters loaded with steamed mussels and spicy crab cakes call out for a fresh, vibrant Vernaccia just like this bottling. Massimo Daldin offers touches of vanilla cream, yellow fruits and nuts, which give it momentum and character.",Massimo Daldin,87,16.0,Tuscany,Vernaccia di San Gimignano,,,,Cà del Vispo 2011 Massimo Daldin  (Vernaccia di San Gimignano),Vernaccia,Cà del Vispo
Italy,"From a boutique producer that shows great promise for the future, this fresh Falanghina opens with bright notes of green grass, kiwi, lemon and white flower. It's an easy, crisp wine that keeps the palate crystal clean.",,86,14.0,Southern Italy,Sannio,,,,Terra di Briganti 2009 Falanghina (Sannio),Falanghina,Terra di Briganti
US,"Tar and beef char kick off the nose on this dark and heavy wine, which offers asphalt, smoked meats and crushed elderberry. Caramelized beef, balsamic-blackberry reduction, tobacco and touches of smoke show on the palate.",,90,28.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Fess Parker 2013 Syrah (Santa Barbara County),Syrah,Fess Parker
US,"This foot-stomped, Sangiovese rosé offers aromas of lush strawberries and cream, with a hint of watermelon sweetness. It's fun, forward and fruit-powered all the way.",Ruby,86,15.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Airfield Estates 2012 Ruby Rosé (Yakima Valley),Rosé,Airfield Estates
US,"Six months in French oak lend a rounded feel and delicate spice to pressed apple and lemon flavors in this wine. While less forward and fruity in style than most New York Sauvignon Blanc, its richer body and slightly salty, saline palate are enticing.",Migratus,88,27.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Saltbird 2014 Migratus Sauvignon Blanc (North Fork of Long Island),Sauvignon Blanc,Saltbird
Portugal,"Released in 2015 to celebrate the 200th anniversary of Fonseca, this Port is a style that's a Fonseca specialty. Bottled without filtering allows the wine to age, and this was bottled in 2008. It is a beautiful full, ripe wine, with a generous structure of red fruits and raisins supported by a dense texture.",Bicentenary Edition Crusted,90,,Port,,,Roger Voss,@vossroger,Fonseca NV Bicentenary Edition Crusted  (Port),Port,Fonseca
Spain,"The nose on this clear-colored Godello is fresh, spunky and citrusy. The palate is spritzy in feel and juicy, but also kind of cloying and clumsy. Flavors of sweet apple, citrus, lychee and mango finish tropical and candied, with weight and flatness.",Capricho Val de Paxariñas,84,26.0,Northern Spain,Bierzo,,Michael Schachner,@wineschach,Gancedo 2011 Capricho Val de Paxariñas Godello (Bierzo),Godello,Gancedo
Portugal,"Produced at Quinta do Carmo, this easy and ripe wine is totally ready to drink. With bright red-berry acidity and soft tannins, the blend of Aragonez and Trincadeira is all fruit, finished with acidity.",Monte das Amforas by Quinta do Carmo,87,9.0,Alentejano,,,Roger Voss,@vossroger,Bacalhôa Wines of Portugal 2016 Monte das Amforas by Quinta do Carmo Red (Alentejano),Portuguese Red,Bacalhôa Wines of Portugal
US,"Soft, fruity and simple, with rich flavors of black cherry and raspberry jam, accented with cocoa, coffee, cinnamon and sugar flavors. Tastes like a Starbucks drink.",,84,30.0,California,Napa Valley,Napa,,,Madrigal 2006 Merlot (Napa Valley),Merlot,Madrigal
US,"Raspberry and tar aromas mix with wild berry pie and buttered crust aromas. Strawberry, leather and some barnyard flavorings arise on the palate, which shows tannic grip.",Family Album,88,29.0,California,Santa Clara Valley,Central Coast,Matt Kettmann,@mattkettmann,Aver Family Vineyards 2011 Family Album Carignane (Santa Clara Valley),Carignane,Aver Family Vineyards
France,"Minerally and structured wine with a serious and complex range of flavors. The wine is richly textured, layering black currant fruits, a very dry character with dense tannins and intense acidity. It shows the potential for elegance and balance. Drink from 2017.",Cuvée Icône du Château de Haute-Serre,93,140.0,Southwest France,Cahors,,Roger Voss,@vossroger,Georges Vigouroux 2010 Cuvée Icône du Château de Haute-Serre Malbec (Cahors),Malbec,Georges Vigouroux
France,"Oaky aromas of baked apple and toasted wood are upfront on the nose of this wine, but are grounded by ample ripe peach, apple flesh and orange. The medium-weight palate is lushly textured and slightly round in feel, though ample acidity helps to keep the flavors fresh and vibrant through the spicy finish.",,88,13.0,Languedoc-Roussillon,Pays d'Oc,,Lauren Buzzeo,@laurbuzz,La Forge Estate 2015 Chardonnay (Pays d'Oc),Chardonnay,La Forge Estate
US,"This sweet, low-alcohol, red version of Moscato is fantastically fruity and floral in aroma. Boysenberry and rose-petal flavors accompany a broad texture that clings to the palate on the finish.",,88,14.0,California,California,California Other,Jim Gordon,@gordone_cellars,Red Electra 2015 Moscato (California),Moscato,Red Electra
